Date,ibov
05-02-2024,127834.0
06-02-2024,130417.0
07-02-2024,130552.0
08-02-2024,130126.0
09-02-2024,128896.0
14-02-2024,128026.0
15-02-2024,127824.0
16-02-2024,129069.0
19-02-2024,129036.0
20-02-2024,129916.0
21-02-2024,130034.0
22-02-2024,130829.0
23-02-2024,130624.0
26-02-2024,129978.0
27-02-2024,131696.0
28-02-2024,131685.0
29-02-2024,130155.0
01-03-2024,129716.0
