Date,petr,vale
2023-03-01 00:00:00-03:00,19.648865290200227,84.5055259544965
2023-03-02 00:00:00-03:00,19.834307021794128,84.77827493590564
2023-03-03 00:00:00-03:00,19.88839255171487,84.9287609107854
2023-03-06 00:00:00-03:00,20.182005947877833,82.67151028313252
2023-03-07 00:00:00-03:00,19.919298860309752,82.2012506780331
2023-03-08 00:00:00-03:00,20.02747045321481,81.27014955369556
2023-03-09 00:00:00-03:00,20.266994377694203,81.3453780496765
2023-03-10 00:00:00-03:00,19.76476376043284,81.05382715542783
2023-03-13 00:00:00-03:00,19.20844899135987,80.88453214545025
2023-03-14 00:00:00-03:00,19.10799906879937,81.07489792629524
2023-03-15 00:00:00-03:00,18.14216918262682,79.86382081328888
2023-03-16 00:00:00-03:00,18.173076250182472,78.96032190493618
2023-03-17 00:00:00-03:00,18.165348052978516,80.25790663181843
2023-03-20 00:00:00-03:00,18.273523202821696,80.72887645595179
2023-03-21 00:00:00-03:00,18.234888228640482,80.2002324257613
2023-03-22 00:00:00-03:00,18.25034341444828,79.53702979116026
2023-03-23 00:00:00-03:00,18.28897544796094,78.9891515572386
2023-03-24 00:00:00-03:00,17.87173635605754,76.75923801376561
2023-03-27 00:00:00-03:00,18.04944976953159,76.97069261843136
2023-03-28 00:00:00-03:00,18.26579596652023,76.79768932857138
2023-03-29 00:00:00-03:00,18.57486222869544,77.70118404823364
2023-03-30 00:00:00-03:00,18.760301991900565,78.76808485810845
2023-03-31 00:00:00-03:00,18.71394071368214,78.97954036709757
2023-04-03 00:00:00-03:00,18.930286562584673,77.26866039519133
2023-04-04 00:00:00-03:00,19.13118049320003,77.06681936082964
2023-04-05 00:00:00-03:00,18.953468175687235,74.74077131138007
2023-04-06 00:00:00-03:00,18.868474118054564,74.49087608908985
2023-04-10 00:00:00-03:00,19.053912493783915,75.22136177263974
2023-04-11 00:00:00-03:00,19.857485438859754,79.72925100069892
2023-04-12 00:00:00-03:00,20.20518563115882,79.58508873508535
2023-04-13 00:00:00-03:00,20.158826291030422,77.59545256874743
2023-04-14 00:00:00-03:00,20.39834984138426,76.7015660250011
2023-04-17 00:00:00-03:00,20.70741454812547,77.31672509117247
2023-04-18 00:00:00-03:00,21.341002138113964,75.86534281904079
2023-04-19 00:00:00-03:00,21.10147434771979,74.60621483616424
2023-04-20 00:00:00-03:00,20.84649518947378,73.49125274617953
2023-04-24 00:00:00-03:00,21.06284278258442,69.7234516394787
2023-04-25 00:00:00-03:00,21.248280464314416,68.43547802376561
2023-04-26 00:00:00-03:00,21.03193705045307,68.65655144094411
2023-04-27 00:00:00-03:00,21.001029515645868,68.99295984714438
2023-04-28 00:00:00-03:00,20.932626030173626,69.60811029898336
2023-05-02 00:00:00-03:00,20.66280844129342,68.81994826976688
2023-05-03 00:00:00-03:00,20.010024469217875,67.35896798363461
2023-05-04 00:00:00-03:00,20.349472120487746,66.63809740901382
2023-05-05 00:00:00-03:00,21.037071323042255,66.5611974624086
2023-05-08 00:00:00-03:00,21.437444785796806,68.39704013970356
2023-05-09 00:00:00-03:00,21.58541065541178,67.96450983614073
2023-05-10 00:00:00-03:00,21.60281773188298,68.30091379890655
2023-05-11 00:00:00-03:00,22.17726922641149,65.63847375703992
2023-05-12 00:00:00-03:00,23.273947452966933,65.90760275448645
2023-05-15 00:00:00-03:00,22.760422425188054,67.40702483913915
2023-05-16 00:00:00-03:00,23.526358051901692,66.51313683782979
2023-05-17 00:00:00-03:00,23.291354424184558,67.51275548055031
2023-05-18 00:00:00-03:00,22.49931068248268,67.5896506635257
2023-05-19 00:00:00-03:00,22.78653726662728,67.86839388200157
2023-05-22 00:00:00-03:00,22.63856930512542,66.22478966130414
2023-05-23 00:00:00-03:00,23.004130274861208,65.06176896301264
2023-05-24 00:00:00-03:00,23.41320874094428,63.22592858184701
2023-05-25 00:00:00-03:00,23.360987180290028,63.2451533382236
2023-05-26 00:00:00-03:00,23.421912244018962,64.43700156297895
2023-05-29 00:00:00-03:00,23.343577297187093,65.07137860366944
2023-05-30 00:00:00-03:00,23.32617003896182,63.744957123067
2023-05-31 00:00:00-03:00,22.943204852010012,62.35126454906092
2023-06-01 00:00:00-03:00,23.50024719125925,63.21631337312395
2023-06-02 00:00:00-03:00,24.022473193357904,65.55196256219796
2023-06-05 00:00:00-03:00,23.987658935046,65.82109721025174
2023-06-06 00:00:00-03:00,24.588221081500024,65.7345850091174
2023-06-07 00:00:00-03:00,25.2932281200262,66.01332166316453
2023-06-09 00:00:00-03:00,26.45083170832047,67.08984798155898
2023-06-12 00:00:00-03:00,26.973061479835923,65.16749834932058
2023-06-13 00:00:00-03:00,27.11646872902062,65.90760046180687
2023-06-14 00:00:00-03:00,27.914011001586914,66.90721395956083
2023-06-15 00:00:00-03:00,28.60954481673066,66.94567072118097
2023-06-16 00:00:00-03:00,27.74708499847726,67.47430980249035
2023-06-19 00:00:00-03:00,28.24786567242282,66.94566880613007
2023-06-20 00:00:00-03:00,28.51680624045546,66.34012027232649
2023-06-21 00:00:00-03:00,29.67602656825826,64.72535285305358
2023-06-22 00:00:00-03:00,29.388539830136907,65.2251657727298
2023-06-23 00:00:00-03:00,29.008315761129847,63.53349819097065
2023-06-26 00:00:00-03:00,28.795019303548813,63.72574080048955
2023-06-27 00:00:00-03:00,28.934126658486694,64.66768552538183
2023-06-28 00:00:00-03:00,28.91557871042373,64.22554935432082
2023-06-29 00:00:00-03:00,28.859936056285886,63.370106113758986
2023-06-30 00:00:00-03:00,28.82284020446568,63.4950514880195
